2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | ============================================================
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Auto-ML scoring started
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | ============================================================
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Log file: artifacts/titanic/logs/score_20260513_130902.log
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Loading artifact: artifacts/titanic/models/best.joblib
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Reading input parquet: data/titanic/score_input.parquet
2026-05-13 13:09:02 | INFO    | auto_ml.scorer | Scored 179 rows (model=catboost, threshold=0.500)
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Wrote scored output: artifacts/titanic/scores/scores.parquet (rows=179)
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | ============================================================
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | Scoring completed in 0.0s
2026-05-13 13:09:02 | INFO    | auto_ml.scoring.runner | ============================================================
